BRIDGE | TRACE | 10:11:52 | 3.81 | Creating Bridge Instance
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_11_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_2_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_3_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_4_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_5_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_6_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_7_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_7_notused.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_8_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_1_9_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:17 | 13.88 | Extracting file: moonlab_2_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_1_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_10_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_11_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_2_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_20_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_3_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_4_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_5_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_6_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_7_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_8_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_2_9_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_3_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_3_1_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:18 | 13.88 | Extracting file: moonlab_4_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_5_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_6_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_0_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_1_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_2_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_3_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_4_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_5_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: moonlab_7_6_0.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: newfinalie.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: not_in_order1.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: not_in_order2.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: not_in_order3.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: Release.wav
DOWNLOADUTILITY | DEBUG | 10:12:19 | 13.88 | Extracting file: seeing the moon.wav
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: sorting_instructions.wav
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: sort-nicejob.wav
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: startbasketball.mp3
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: startsim.wav
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: starttinyearthmoons.wav
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: Test55.mp3
DOWNLOADUTILITY | DEBUG | 10:12:20 | 13.88 | Extracting file: tinyearthmoon.wav
DOWNLOADUTILITY | DEBUG | 10:12:21 | 13.88 | Extracting file: Full_Lab_Transmission.json
DOWNLOADUTILITY | DEBUG | 10:12:21 | 13.88 | Extracting file: 2k_earth_daymap.jpg
DOWNLOADUTILITY | DEBUG | 10:12:21 | 13.88 | Extracting file: 2k_moon.jpg
DOWNLOADUTILITY | DEBUG | 10:12:21 | 13.88 | Extracting file: 2k_sun.jpg
DOWNLOADUTILITY | DEBUG | 10:12:21 | 13.88 | Extracting file: balldimpled.png
LOGINMANAGER | DEBUG | 10:12:21 | 13.88 | Checking file Full_Lab_Transmission.json, in Directory /documents/C2/lab_resources/FullTransmissionLab
MEDIACATALOGUE | DEBUG | 10:12:21 | 13.88 | Started Initializing Media Catlogue, 60 resources to load
MEDIACATALOGUE | DEBUG | 10:12:21 | 13.88 | Started loading file: basketball.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.23 | Started loading file: bigearthmoon.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.27 | Started loading file: Grab.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.29 | Started loading file: introduction.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.32 | Started loading file: labintro.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.36 | Started loading file: newfinalie.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.4 | Started loading file: not_in_order1.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.41 | Started loading file: not_in_order2.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.43 | Started loading file: not_in_order3.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.45 | Started loading file: Release.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.46 | Started loading file: seeing the moon.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.5 | Started loading file: sorting_instructions.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.54 | Started loading file: sort-nicejob.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.56 | Started loading file: startbasketball.mp3
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.58 | Started loading file: startsim.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.66 | Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE | DEBUG | 10:12:21 | 14.7 | Started loading file: Test55.mp3
MEDIACATALOGUE | DEBUG | 10:12:27 | 14.8 | Started loading file: tinyearthmoon.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.17 | Started loading file: mixkit-game-bonus-reached-2065.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.2 | Started loading file: moonlab_1_1_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.22 | Started loading file: moonlab_1_10_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.24 | Started loading file: moonlab_1_11_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.27 | Started loading file: moonlab_1_2_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.31 | Started loading file: moonlab_1_3_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.32 | Started loading file: moonlab_1_4_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.36 | Started loading file: moonlab_1_5_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.38 | Started loading file: moonlab_1_6_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.41 | Started loading file: moonlab_1_7_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.45 | Started loading file: moonlab_1_7_notused.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.46 | Started loading file: moonlab_1_8_0.wav
MEDIACATALOGUE | DEBUG | 10:12:27 | 15.5 | Started loading file: moonlab_1_9_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.53 | Started loading file: moonlab_2_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.57 | Started loading file: moonlab_2_1_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.59 | Started loading file: moonlab_2_10_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.6 | Started loading file: moonlab_2_11_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.62 | Started loading file: moonlab_2_2_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.65 | Started loading file: moonlab_2_20_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.68 | Started loading file: moonlab_2_3_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.7 | Started loading file: moonlab_2_4_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.72 | Started loading file: moonlab_2_5_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.73 | Started loading file: moonlab_2_6_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.75 | Started loading file: moonlab_2_7_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.76 | Started loading file: moonlab_2_8_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.78 | Started loading file: moonlab_2_9_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.8 | Started loading file: moonlab_3_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.83 | Started loading file: moonlab_3_1_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.88 | Started loading file: moonlab_4_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.92 | Started loading file: moonlab_5_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.96 | Started loading file: moonlab_6_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 15.99 | Started loading file: moonlab_7_0_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.01 | Started loading file: moonlab_7_1_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.03 | Started loading file: moonlab_7_2_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.04 | Started loading file: moonlab_7_3_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.06 | Started loading file: moonlab_7_4_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.08 | Started loading file: moonlab_7_5_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.09 | Started loading file: moonlab_7_6_0.wav
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.11 | Started loading file: 2k_earth_daymap.jpg
MEDIACATALOGUE | DEBUG | 10:12:28 | 16.4 | Started loading file: 2k_moon.jpg
MEDIACATALOGUE | DEBUG | 10:12:29 | 16.73 | Started loading file: 2k_sun.jpg
MEDIACATALOGUE | DEBUG | 10:12:29 | 17.01 | Started loading file: balldimpled.png
LOGINMANAGER | TRACE | 10:12:29 | 17.07 | InitializeLabManager()
LABMANAGER | TRACE | 10:12:29 | 17.07 | Initialize()
LABMANAGER | TRACE | 10:12:29 | 17.07 | setTransmissionUI(Wait)
BRIDGE | TRACE | 10:12:29 | 17.07 | ConnectToTransmission()
LABMANAGER | DEBUG | 10:12:29 | 17.07 | Our Address: 192.168.177.154
LABMANAGER | TRACE | 10:13:02 | 49.72 | TransmissionStartLab()
LABMANAGER | STATE_START | 10:13:02 | 49.72 | Module 0
LIGHTINGCONTROL | TRACE | 10:13:02 | 49.72 | saveLights()
LIGHTINGCONTROL | TRACE | 10:13:02 | 49.72 | sunlight()
LABMANAGER | TRACE | 10:13:02 | 49.72 | TransmissionStartLab()
LABMANAGER | STATE_START | 10:13:02 | 49.72 | Module 0
LIGHTINGCONTROL | TRACE | 10:13:02 | 49.72 | saveLights()
LIGHTINGCONTROL | TRACE | 10:13:02 | 49.72 | sunlight()
BRIDGE | TRACE | 10:13:02 | 49.72 | handleStringMessage, message guid: b64592b2-4ea6-4e07-855f-1773822fc2f8
BRIDGE | DEBUG | 10:13:02 | 49.72 | Found Object to modify over transmission, object guid: f5456ae8-8d91-41d3-87dc-2cc7f7fa7179
BRIDGE | TRACE | 10:13:02 | 49.72 | initializeObject() : Sun
BRIDGE | DEBUG | 10:13:02 | 49.72 | Setting object Sun parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:13:02 | 49.72 | modifyObject() : Sun
BRIDGE | DEBUG | 10:13:02 | 49.72 | Position: (-37.454, -0.533, -8.500), scale: (5.000, 5.000, 5.000), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:02 | 49.72 | Mesh bounding box: Center: (-37.454, -0.533, -8.500), Extents: (3.007, 2.500, 3.007)
BRIDGE | TRACE | 10:13:02 | 50.42 | handleStringMessage, message guid: a85aa660-f4e8-4ae3-bef6-7cd8ffa3c282
BRIDGE | DEBUG | 10:13:02 | 50.42 | Found Object to modify over transmission, object guid: e4da8fb5-65ea-4f60-841b-b9f259861dcc
BRIDGE | TRACE | 10:13:02 | 50.42 | initializeObject() : Earth
BRIDGE | DEBUG | 10:13:03 | 50.42 | Setting object Earth parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:13:03 | 50.42 | modifyObject() : Earth
BRIDGE | DEBUG | 10:13:03 | 50.42 | Position: (0.158, -0.533, 1.923), scale: (0.080, 0.080, 0.080), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:03 | 50.42 | Mesh bounding box: Center: (0.158, -0.533, 1.923), Extents: (0.048, 0.040, 0.048)
BRIDGE | TRACE | 10:13:03 | 50.96 | handleStringMessage, message guid: 95585a91-1c4a-4df4-bdc7-1d0b13903445
BRIDGE | DEBUG | 10:13:03 | 50.96 | Found Object to modify over transmission, object guid: 1e386f6c-46b1-4ef6-ab69-167df5e56b1d
BRIDGE | TRACE | 10:13:03 | 50.96 | initializeObject() : Moon
BRIDGE | DEBUG | 10:13:03 | 50.96 | Setting object Moon parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:13:03 | 50.96 | modifyObject() : Moon
BRIDGE | DEBUG | 10:13:03 | 50.96 | Position: (1.251, -0.267, 1.241), scale: (0.020, 0.020, 0.020), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:03 | 50.96 | Mesh bounding box: Center: (1.251, -0.267, 1.241), Extents: (0.012, 0.010, 0.012)
BRIDGE | TRACE | 10:13:03 | 51.45 | handleStringMessage, message guid: b1ba626b-7a7e-4015-b85a-4760269e7b26
BRIDGE | DEBUG | 10:13:03 | 51.45 | Found Object to modify over transmission, object guid: 6abecdf5-fda9-4117-8fa7-1ac890072ae3
BRIDGE | TRACE | 10:13:04 | 51.45 | initializeObject() : earthLabel
BRIDGE | DEBUG | 10:13:04 | 51.45 | Setting object earthLabel parent to Earth
BRIDGE | TRACE | 10:13:04 | 51.45 | modifyObject() : earthLabel
BRIDGE | DEBUG | 10:13:04 | 51.45 | Position: (0.502, 1.467, 0.463), scale: (10.000, 10.000, 10.000), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:04 | 51.45 | Modifying Text: Earth
BRIDGE | DEBUG | 10:13:04 | 51.45 | Mesh bounding box: Center: (0.514, 1.475, 0.466), Extents: (1.112, 0.381, 0.262)
BRIDGE | TRACE | 10:13:04 | 52 | handleStringMessage, message guid: 6d278783-94b1-44c1-9f3c-f422b472d07e
BRIDGE | DEBUG | 10:13:04 | 52 | Found Object to modify over transmission, object guid: ee63724d-4489-4a19-89fe-a10bbec528c8
BRIDGE | TRACE | 10:13:04 | 52 | initializeObject() : earthSizeLabel
BRIDGE | DEBUG | 10:13:04 | 52 | Setting object earthSizeLabel parent to Earth
BRIDGE | TRACE | 10:13:04 | 52 | modifyObject() : earthSizeLabel
BRIDGE | DEBUG | 10:13:04 | 52 | Position: (0.143, -0.723, 0.132), scale: (0.100, 0.100, 0.100), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:04 | 52 | Modifying Text: 8000 miles
BRIDGE | DEBUG | 10:13:04 | 52 | Mesh bounding box: Center: (0.143, -0.723, 0.132), Extents: (0.024, 0.004, 0.006)
BRIDGE | TRACE | 10:13:04 | 52.45 | handleStringMessage, message guid: cc99bdde-2958-4420-9a5a-9b3f2ccc2df2
BRIDGE | DEBUG | 10:13:04 | 52.45 | Found Object to modify over transmission, object guid: ed26c3a0-8faf-43a8-b2f5-2781576f4340
BRIDGE | TRACE | 10:13:04 | 52.45 | initializeObject() : moonLabel
BRIDGE | DEBUG | 10:13:04 | 52.45 | Setting object moonLabel parent to Moon
BRIDGE | TRACE | 10:13:05 | 52.45 | modifyObject() : moonLabel
BRIDGE | DEBUG | 10:13:05 | 52.45 | Position: (0.254, 1.756, 0.235), scale: (20.000, 20.000, 20.000), EulerAngles: (0.000, 256.737, 0.000)
BRIDGE | DEBUG | 10:13:05 | 52.45 | Modifying Text: The Moon
BRIDGE | DEBUG | 10:13:05 | 52.45 | Mesh bounding box: Center: (0.265, 1.772, 0.190), Extents: (1.023, 0.762, 4.340)
BRIDGE | TRACE | 10:13:05 | 52.9 | handleStringMessage, message guid: 2ff4f8f6-18dd-4492-a775-469c51984055
BRIDGE | DEBUG | 10:13:05 | 52.9 | Found Object to modify over transmission, object guid: 11498a20-e8cd-4185-b41c-c2e6f1ac49e9
BRIDGE | TRACE | 10:13:05 | 52.9 | initializeObject() : moonSizeLabel
BRIDGE | DEBUG | 10:13:05 | 52.9 | Setting object moonSizeLabel parent to Moon
BRIDGE | TRACE | 10:13:05 | 52.9 | modifyObject() : moonSizeLabel
BRIDGE | DEBUG | 10:13:05 | 52.9 | Position: (0.395, -3.571, 0.365), scale: (0.100, 0.100, 0.100), EulerAngles: (0.000, 256.737, 0.000)
BRIDGE | DEBUG | 10:13:05 | 52.9 | Modifying Text: 2000 miles
BRIDGE | DEBUG | 10:13:05 | 52.9 | Mesh bounding box: Center: (0.395, -3.571, 0.365), Extents: (0.006, 0.004, 0.023)
BRIDGE | TRACE | 10:13:05 | 53.35 | handleStringMessage, message guid: 7042cbca-51a1-4b0d-ae61-1f5b688caa74
BRIDGE | DEBUG | 10:13:05 | 53.35 | Found Object to modify over transmission, object guid: 633a1eb9-871a-4860-b885-63d23b27784b
BRIDGE | TRACE | 10:13:05 | 53.35 | initializeObject() : moonDistanceLabel
BRIDGE | DEBUG | 10:13:05 | 53.35 | Setting object moonDistanceLabel parent to Moon
BRIDGE | TRACE | 10:13:05 | 53.35 | modifyObject() : moonDistanceLabel
BRIDGE | DEBUG | 10:13:05 | 53.35 | Position: (34.944, -0.420, 8.523), scale: (0.100, 0.100, 0.100), EulerAngles: (0.000, 166.744, 0.000)
BRIDGE | DEBUG | 10:13:05 | 53.35 | Modifying Text: 240,000 miles
BRIDGE | DEBUG | 10:13:05 | 53.35 | Mesh bounding box: Center: (34.944, -0.422, 8.523), Extents: (0.076, 0.011, 0.018)
BRIDGE | TRACE | 10:13:06 | 53.81 | handleStringMessage, message guid: 14f8a016-24a4-4a14-97c1-ef934f8f2509
BRIDGE | DEBUG | 10:13:06 | 53.81 | Found Object to modify over transmission, object guid: b57420d6-8d7e-4786-8e81-6ebd8a8c6ab7
BRIDGE | TRACE | 10:13:06 | 53.81 | initializeObject() : taskLabel
BRIDGE | DEBUG | 10:13:06 | 53.81 | Setting object taskLabel parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:13:06 | 53.81 | modifyObject() : taskLabel
BRIDGE | DEBUG | 10:13:06 | 53.81 | Position: (-0.073, 0.067, 2.896), scale: (0.600, 0.600, 0.600), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:06 | 53.81 | Modifying Text: Introduction
BRIDGE | DEBUG | 10:13:06 | 53.81 | Mesh bounding box: Center: (-0.072, 0.068, 2.896), Extents: (0.150, 0.023, 0.035)
BRIDGE | TRACE | 10:13:06 | 54.24 | handleStringMessage, message guid: 76b72f28-9f40-4d20-ada9-a5c74bb164c0
BRIDGE | DEBUG | 10:13:06 | 54.24 | Found Object to modify over transmission, object guid: 3a266b5c-5e1b-496e-a822-becac9d74297
BRIDGE | TRACE | 10:13:06 | 54.24 | initializeObject() : sectionLabel
BRIDGE | DEBUG | 10:13:06 | 54.24 | Setting object sectionLabel parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:13:06 | 54.24 | modifyObject() : sectionLabel
BRIDGE | DEBUG | 10:13:06 | 54.24 | Position: (-0.073, 0.217, 2.896), scale: (0.600, 0.600, 0.600), EulerAngles: (0.000, 346.744, 0.000)
BRIDGE | DEBUG | 10:13:06 | 54.24 | Modifying Text: Sizes and Scales of the Earth and Moon
BRIDGE | DEBUG | 10:13:06 | 54.24 | Mesh bounding box: Center: (-0.073, 0.218, 2.896), Extents: (0.520, 0.023, 0.123)
BRIDGE | TRACE | 10:13:07 | 54.7 | handleStringMessage, message guid: 7f0cf91f-dfff-4dd5-86e1-1a853f524a54
BRIDGE | DEBUG | 10:13:07 | 54.7 | Found Object to modify over transmission, object guid: 05095a38-fe05-45e1-9605-05613c5be5b4
BRIDGE | TRACE | 10:13:07 | 54.7 | initializeObject() : brbNextModule
BRIDGE | DEBUG | 10:13:07 | 54.7 | Setting object brbNextModule parent to sectionLabel
BRIDGE | TRACE | 10:13:07 | 54.7 | modifyObject() : brbNextModule
BRIDGE | DEBUG | 10:13:07 | 54.7 | Position: (0.161, -0.051, 0.071), scale: (1.000, 1.000, 1.000), EulerAngles: (90.000, 166.737, 0.000)
BRIDGE | DEBUG | 10:13:07 | 54.7 |  Adding component: {"name": "demoButtonActions", "callBackObjects": ["demoModule"]}
BRIDGE | TRACE | 10:13:07 | 55.12 | handleStringMessage, message guid: f90740df-9f10-4d52-8583-7badebd36213
BRIDGE | DEBUG | 10:13:07 | 55.12 | Found Object to modify over transmission, object guid: 13408f69-1e22-4c55-beb6-7fd12fc5e34b
BRIDGE | TRACE | 10:13:07 | 55.12 | initializeObject() : brbNextModuleLabel
BRIDGE | DEBUG | 10:13:07 | 55.12 | Setting object brbNextModuleLabel parent to brbNextModule
BRIDGE | TRACE | 10:13:07 | 55.12 | modifyObject() : brbNextModuleLabel
BRIDGE | DEBUG | 10:13:07 | 55.12 | Position: (0.472, -0.533, 0.589), scale: (0.600, 0.600, 0.600), EulerAngles: (90.000, 166.737, 0.000)
BRIDGE | DEBUG | 10:13:07 | 55.12 | Modifying Text: Next  Module
BRIDGE | DEBUG | 10:13:07 | 55.12 | Mesh bounding box: Center: (0.463, -0.533, 0.587), Extents: (0.106, 0.000, 0.077)
BRIDGE | TRACE | 10:13:08 | 55.62 | handleStringMessage, message guid: 247f9259-3be3-4b29-9b38-33dee90f71c2
BRIDGE | DEBUG | 10:13:08 | 55.62 | Found Object to modify over transmission, object guid: fff62ebe-6b6b-4a99-855d-e13bb3b24dd3
BRIDGE | TRACE | 10:13:08 | 55.62 | initializeObject() : brbPreviousModule
BRIDGE | DEBUG | 10:13:08 | 55.62 | Setting object brbPreviousModule parent to sectionLabel
BRIDGE | TRACE | 10:13:08 | 55.62 | modifyObject() : brbPreviousModule
BRIDGE | DEBUG | 10:13:08 | 55.62 | Position: (-0.496, -0.397, 0.140), scale: (1.000, 1.000, 1.000), EulerAngles: (90.000, 166.737, 0.000)
