#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T18:45:29 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a279d1ddc26	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog,V/53A/names
#-nav=cat:V/53A&tab:{V/53A/catalog}&tab:{V/53A/names}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a279d1ddc26&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-ignore=HR_data=*&HR_data=HR_data&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=GLON&-out=GLAT&HIP_data=HIP_data&-out=Dist&-out=Vmag&-out=SpType&Simbad=Simbad&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/53A/catalog,V/53A/names
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog V/53A/names
#-out=HR
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=GLON
#-out=GLAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=Name
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	Const	RA2000	DE2000	ELON	ELAT	GLON	GLAT	Dist	Vmag	SpType
012.275000	+57.816111	 219	Cas	00 49 06.0	+57 48 58	 40.25	 47.01	122.60	 -5.05	   19	 3.44	G0V+dM0
012.208333	+50.968333	 223	Cas	00 48 50.0	+50 58 06	 35.01	 41.28	122.51	-11.90	  407	 4.89	B9III
012.170417	 +7.585000	 224	Psc	00 48 40.9	+07 35 06	 14.15	  2.18	121.73	-55.28	  326	 4.44	K5III
012.453333	+41.078889	 226	And	00 49 48.8	+41 04 44	 29.15	 32.56	122.60	-21.79	  390	 4.53	B5V+F8V
013.267083	+61.124167	 244	   	00 53 04.1	+61 07 27	 43.75	 49.40	123.13	 -1.75	   61	 4.80	F8V
013.251667	 -1.144444	 248	Cet	00 53 00.4	-01 08 40	 11.74	 -6.29	123.83	-64.01	  543	 4.76	M0III
013.750000	+58.972778	 253	Cas	00 55 00.0	+58 58 22	 42.16	 47.52	123.39	 -3.90	  407	 4.84	K2III
014.176667	+60.716667	 264	Cas	00 56 42.4	+60 43 00	 43.93	 48.82	123.58	 -2.15	  624	 2.47	B0IVe
014.165417	+59.181111	 265	Cas	00 56 39.7	+59 10 52	 42.59	 47.57	123.60	 -3.68	  217	 4.64	G8.5IIIbCN-1
014.187917	+38.499444	 269	And	00 56 45.1	+38 29 58	 29.17	 29.66	124.07	-24.36	  141	 3.87	A5V
014.301667	+23.417778	 271	And	00 57 12.4	+23 25 04	 22.38	 15.93	124.65	-39.43	  250	 4.42	G8IIIb
014.651250	-29.357778	 280	Scl	00 58 36.3	-29 21 28	  0.49	-32.51	268.05	-87.27	  556	 4.27	B7IIIp
017.187083	+86.257222	 285	   	01 08 44.9	+86 15 26	 81.45	 65.21	123.24	 23.40	  326	 4.26	K2II-III
015.735417	 +7.890000	 294	Psc	01 02 56.5	+07 53 24	 17.52	  1.09	127.89	-54.87	  191	 4.28	K0III
016.520833	-46.718889	 322	Phe	01 06 05.0	-46 43 08	350.44	-48.20	295.51	-70.20	  203	 3.30	G8IIIv
017.147083	-10.182222	 334	Cet	01 08 35.3	-10 10 56	 11.77	-16.12	137.15	-72.58	  120	 3.44	K1.5IIICN1
017.375417	+47.241944	 335	And	01 09 30.1	+47 14 31	 36.42	 36.37	126.11	-15.52	  409	 4.25	B7Ve
017.432917	+35.620556	 337	And	01 09 43.9	+35 37 14	 30.41	 25.94	127.10	-27.10	  203	 2.05	M0IIIa
017.095833	-55.245833	 338	Phe	01 08 23.0	-55 14 45	342.38	-55.13	297.83	-61.71	  296	 3.92	B6V+B9V
017.775417	+55.150000	 343	Cas	01 11 06.1	+55 09 00	 41.80	 43.12	125.76	 -7.61	  141	 4.34	A7V
017.862917	+21.034722	 351	Psc	01 11 27.1	+21 02 05	 24.53	 12.44	129.18	-41.59	  465	 4.66	G8.5III-IIIa
017.915000	+30.089722	 352	Psc	01 11 39.6	+30 05 23	 28.32	 20.74	128.12	-32.58	  163	 4.51	K0IIIb
018.436667	+24.583611	 360	Psc	01 13 44.8	+24 35 01	 26.46	 15.50	129.37	-38.01	  407	 4.66	K0III
018.796250	-45.531667	 370	Phe	01 15 11.1	-45 31 54	353.40	-48.12	290.10	-71.00	   49	 4.96	F8V
018.942500	-68.876111	 377	Tuc	01 15 46.2	-68 52 34	322.27	-64.47	299.66	-48.10	   67	 4.86	F6IV
020.020000	+58.231667	 382	Cas	01 20 04.8	+58 13 54	 45.51	 45.10	126.71	 -4.43	 7989	 4.99	F0Ia
019.866250	+27.264167	 383	Psc	01 19 27.9	+27 15 51	 28.79	 17.47	130.56	-35.19	  326	 4.76	A3V
020.584583	+45.528889	 390	And	01 22 20.3	+45 31 44	 37.86	 33.83	128.58	-17.00	  203	 4.90	K0-IIIb
021.483333	+68.130000	 399	Cas	01 25 56.0	+68 07 48	 54.96	 52.86	126.15	  5.47	  203	 4.74	K0III
021.005417	 -8.183611	 402	Cet	01 24 01.3	-08 11 01	 16.23	-15.77	146.59	-69.54	  116	 3.59	K0IIIb
021.453750	+60.235278	 403	Cas	01 25 48.9	+60 14 07	 47.93	 46.40	127.19	 -2.35	  101	 2.68	A5III-IVv
021.404583	-14.598889	 412	Cet	01 25 37.1	-14 35 56	 13.95	-21.82	157.07	-75.16	  296	 4.90	K2.5IIIb
021.913333	+45.406944	 417	And	01 27 39.2	+45 24 25	 38.80	 33.31	129.56	-17.00	   93	 4.82	F5IV
037.960417	+89.264167	 424	UMi	02 31 50.5	+89 15 51	 88.57	 66.10	123.28	 26.46	  465	 2.02	F7:Ib-IIv
022.091250	-43.318333	 429	Phe	01 28 21.9	-43 19 06	358.14	-47.59	280.52	-72.17	  250	 3.41	M0-IIIa
022.546250	 +6.143889	 434	Psc	01 30 11.1	+06 08 38	 23.14	 -3.06	140.07	-55.43	  362	 4.84	K4III
022.870417	+15.345833	 437	Psc	01 31 28.9	+15 20 45	 26.82	  5.38	137.01	-46.43	  296	 3.62	G7IIIa
022.812500	-49.072778	 440	Phe	01 31 15.0	-49 04 22	353.62	-52.58	286.27	-66.75	  148	 3.95	K0III-IV
023.482917	+59.232222	 442	Cas	01 33 55.9	+59 13 56	 48.42	 45.01	128.35	 -3.19	  217	 4.72	G9IIIb
024.199167	+41.405556	 458	And	01 36 47.8	+41 24 20	 38.55	 28.98	132.00	-20.66	   44	 4.10	F8V
024.497917	+48.628333	 464	And	01 37 59.5	+48 37 42	 42.44	 35.42	130.81	-13.53	  181	 3.57	K3-III
024.837083	+44.386111	 469	And	01 39 20.9	+44 23 10	 40.49	 31.49	131.89	-17.65	  250	 4.98	G8III
024.428750	-57.236667	 472	Eri	01 37 42.9	-57 14 12	345.31	-59.38	290.84	-58.79	  148	 0.46	B3Vpe
025.144583	+40.576944	 477	And	01 40 34.7	+40 34 37	 38.90	 27.93	132.92	-21.34	  501	 4.94	B8III
025.446250	+42.613611	 483	   	01 41 47.1	+42 36 49	 40.09	 29.70	132.70	-19.30	   41	 4.96	G1.5V
025.357500	 +5.487500	 489	Psc	01 41 25.8	+05 29 15	 25.51	 -4.69	145.12	-55.22	  407	 4.44	K3-IIIbBa0.1
025.915000	+50.688889	 496	Per	01 43 39.6	+50 41 20	 44.59	 36.85	131.32	-11.33	  440	 4.06	B2Vep
025.680833	 -3.690278	 500	   	01 42 43.4	-03 41 25	 22.43	-13.36	152.75	-63.55	  494	 5.00	K3II-III
026.016667	-15.937500	 509	Cet	01 44 04.0	-15 56 15	 17.82	-24.82	173.19	-73.43	   11	 3.50	G8V
026.348333	 +9.157778	 510	Psc	01 45 23.6	+09 09 28	 27.74	 -1.62	144.61	-51.43	  271	 4.26	G8III
027.395833	-10.686389	 531	Cet	01 49 35.0	-10 41 11	 21.35	-20.49	165.48	-68.61	   77	 4.68	F3III
027.864583	-10.335000	 539	Cet	01 51 27.5	-10 20 06	 21.95	-20.33	165.88	-68.05	  271	 3.72	K0IIIBa0.1
028.598333	+63.670278	 542	Cas	01 54 23.6	+63 40 13	 54.76	 47.55	129.84	  1.65	  465	 3.37	B3III
028.270000	+29.578889	 544	Tri	01 53 04.8	+29 34 44	 36.86	 16.80	138.64	-31.40	   65	 3.42	F6IV
028.382083	+19.295833	 545	Ari	01 53 31.7	+19 17 45	 33.18	  7.16	142.55	-41.20	  217	 4.83	B9V
028.382500	+19.293611	 546	Ari	01 53 31.8	+19 17 37	 33.18	  7.16	142.55	-41.20	  217	 4.75	A1pSi
028.999583	+68.685278	 548	Cas	01 55 59.9	+68 41 07	 59.15	 51.69	128.77	  6.55	  512	 4.99	B8III
028.388750	 +3.187500	 549	Psc	01 53 33.3	+03 11 15	 27.52	 -7.92	151.64	-56.18	  191	 4.63	K0III
028.659583	+20.808056	 553	Ari	01 54 38.3	+20 48 29	 33.97	  8.49	142.24	-39.68	   60	 2.65	A5V
028.411250	-46.302778	 555	Phe	01 53 38.7	-46 18 10	  1.32	-52.57	274.35	-67.22	  326	 4.41	M4III
029.167083	-22.526667	 565	Cet	01 56 40.1	-22 31 36	 17.91	-32.04	199.22	-74.52	  407	 4.85	K4III
028.989167	-51.608889	 566	Eri	01 55 57.4	-51 36 32	356.25	-57.02	280.88	-62.67	   57	 3.70	G8IIIbCNIV
029.482083	+23.596111	 569	Ari	01 57 55.7	+23 35 46	 35.69	 10.83	142.04	-36.80	  135	 4.79	F0V
028.733750	-67.647500	 570	Hyi	01 54 56.1	-67 38 51	329.03	-67.11	293.93	-48.35	  217	 4.69	G8III-IV
029.291667	-47.385000	 574	   	01 57 10.0	-47 23 06	  1.09	-53.80	274.84	-66.00	  271	 4.82	G8III
030.488750	+70.907222	 575	Cas	02 01 57.3	+70 54 26	 61.91	 53.23	128.69	  8.83	  120	 4.54	A3IV
030.858333	+72.421389	 580	Cas	02 03 26.0	+72 25 17	 63.56	 54.39	128.38	 10.31	  163	 3.98	A2V
030.000833	-21.077778	 585	Cet	02 00 00.2	-21 04 40	 19.43	-31.03	195.47	-73.25	  326	 4.02	M0.5IIIBa0.2
029.692500	-61.570000	 591	Hyi	01 58 46.2	-61 34 12	342.12	-64.24	289.45	-53.76	   72	 2.86	F0V
030.511250	 +2.763611	 596	Psc	02 02 02.7	+02 45 49	 29.38	 -9.06	155.35	-55.60	  141	 4.33	A0pSiSr
030.974583	+42.329722	 603	And	02 03 53.9	+42 19 47	 44.23	 27.81	136.96	-18.56	  362	 2.26	K3-IIb
030.977917	+42.330833	 604	And	02 03 54.7	+42 19 51	 44.23	 27.81	136.97	-18.56	  362	 4.84	B8V+A0V
031.122500	-29.296944	 612	For	02 04 29.4	-29 17 49	 16.34	-38.92	224.89	-73.78	  362	 4.69	B9.5pSi
031.792917	+23.462500	 617	Ari	02 07 10.3	+23 27 45	 37.66	  9.97	144.57	-36.20	   66	 2.01	K2IIIabCa-I
032.121667	+37.859167	 620	And	02 08 29.2	+37 51 33	 43.26	 23.33	139.31	-22.55	  203	 4.83	A5IV-V
032.385417	+34.987222	 622	Tri	02 09 32.5	+34 59 14	 42.35	 20.58	140.55	-25.20	  125	 3.00	A5III
032.355417	+25.940000	 623	Ari	02 09 25.3	+25 56 24	 39.02	 12.12	144.08	-33.71	  326	 4.98	F2III
033.092500	+30.303056	 642	Tri	02 12 22.2	+30 18 11	 41.20	 15.99	142.98	-29.40	  326	 4.94	G5III+F5V
033.305000	+44.231944	 643	And	02 13 13.2	+44 13 55	 46.83	 28.91	138.04	-16.23	  289	 4.83	K3.5IIIBa0.5:
033.249583	 +8.846667	 649	Cet	02 12 59.9	+08 50 48	 34.04	 -4.27	154.55	-48.95	  362	 4.35	G6II-IIICN-2
034.263333	+34.224444	 660	Tri	02 17 03.2	+34 13 28	 43.60	 19.32	142.43	-25.39	   35	 4.87	G0V
034.328333	+33.847222	 664	Tri	02 17 18.8	+33 50 50	 43.52	 18.95	142.65	-25.71	  120	 4.01	A1Vnn
034.127500	-51.512222	 674	Eri	02 16 30.6	-51 30 44	  1.00	-58.99	275.35	-60.82	  155	 3.56	B8V-IV
034.836250	 -2.977500	 681	Cet	02 19 20.7	-02 58 39	 31.52	-15.94	167.75	-57.98	  465	 3.05	M7IIIe
036.405417	+50.278611	 699	And	02 25 37.3	+50 16 43	 51.81	 33.70	137.95	 -9.83	  362	 4.70	K4+III
035.437917	-68.659444	 705	Hyi	02 21 45.1	-68 39 34	329.18	-69.80	291.25	-46.37	  135	 4.09	A3V
037.266250	+67.402500	 707	Cas	02 29 03.9	+67 24 09	 62.23	 48.98	132.12	  6.29	  141	 4.53	A5pSr
036.487083	-12.290556	 708	Cet	02 25 56.9	-12 17 26	 29.72	-25.24	183.75	-63.35	  543	 4.89	B9.5Vn
037.039583	 +8.460000	 718	Cet	02 28 09.5	+08 27 36	 37.47	 -5.86	159.69	-47.39	  181	 4.30	B9III
036.746250	-47.703889	 721	Eri	02 26 59.1	-47 42 14	  7.94	-57.01	267.12	-62.24	  543	 4.25	B5IV
038.021250	-15.244722	 740	Cet	02 32 05.1	-15 14 41	 30.10	-28.53	191.12	-63.78	   85	 4.75	F4IV
038.460833	-28.232500	 749	For	02 33 50.6	-28 13 57	 24.51	-40.69	221.70	-67.34	  465	 4.89	B9.5V
038.968333	 +5.593333	 754	Cet	02 35 52.4	+05 35 36	 38.39	 -9.18	164.48	-48.67	  407	 4.86	G8III
039.870417	 +0.328611	 779	Cet	02 39 28.9	+00 19 43	 37.57	-14.46	170.76	-52.21	  815	 4.06	B2IV
039.890417	-11.872222	 781	Cet	02 39 33.7	-11 52 20	 33.34	-26.00	187.19	-60.41	   90	 4.84	F5V+F6V
040.562083	+40.193889	 788	Per	02 42 14.9	+40 11 38	 50.84	 23.24	144.84	-17.91	   81	 4.92	F9V
039.949583	-42.891667	 789	   	02 39 47.9	-42 53 30	 15.98	-54.25	255.67	-62.98	  130	 4.75	A2V
040.166667	-39.855278	 794	Eri	02 40 40.0	-39 51 19	 18.77	-51.71	249.30	-64.07	  148	 4.11	K0III
041.049583	+49.228611	 799	Per	02 44 11.9	+49 13 43	 54.67	 31.62	141.16	 -9.61	   36	 4.13	F8V
040.862500	+27.707222	 801	Ari	02 43 27.0	+27 42 26	 46.93	 11.31	151.29	-28.93	  407	 4.67	B3V
040.825000	 +3.235833	 804	Cet	02 43 18.0	+03 14 09	 39.43	-12.00	168.92	-49.38	   83	 3.47	A3V
039.897917	-68.266944	 806	Hyi	02 39 35.5	-68 16 01	331.91	-71.22	288.96	-45.82	  155	 4.11	B9V
041.030417	-13.858889	 811	Cet	02 44 07.3	-13 51 32	 33.76	-28.25	191.81	-60.57	  465	 4.24	B7V
041.235417	+10.114167	 813	Cet	02 44 56.5	+10 06 51	 41.94	 -5.57	163.25	-43.70	   85	 4.27	F0IV
041.275417	-18.572500	 818	Eri	02 45 06.1	-18 34 21	 32.11	-32.75	200.83	-62.53	   45	 4.46	F6V
041.977083	+29.247222	 824	Ari	02 47 54.5	+29 14 50	 48.37	 12.48	151.42	-27.10	  181	 4.52	K1III
042.674167	+55.895556	 834	Per	02 50 41.8	+55 53 44	 58.70	 37.48	139.14	 -3.18	  588	 3.79	M3-Ib-IIa
041.385833	-67.616667	 837	Hyi	02 45 32.6	-67 37 00	334.41	-71.53	287.76	-46.00	  296	 4.84	A2IV-V
042.495833	+27.260556	 838	Ari	02 49 59.0	+27 15 38	 48.20	 10.45	152.98	-28.61	  163	 3.62	B8Vn
042.645417	+38.318611	 840	Per	02 50 34.9	+38 19 07	 51.84	 20.94	147.25	-18.86	  130	 4.23	F2III
042.272500	-32.406111	 841	For	02 49 05.4	-32 24 22	 26.23	-45.86	231.79	-64.02	  171	 4.46	G8IIIb
042.878333	+35.059722	 843	Per	02 51 30.8	+35 03 35	 50.95	 17.79	149.07	-21.64	  465	 4.53	K7III
042.759167	-21.004167	 850	Eri	02 51 02.2	-21 00 15	 32.63	-35.52	206.80	-62.09	  191	 4.77	K0III
043.564167	+52.762500	 854	Per	02 54 15.4	+52 45 45	 57.91	 34.37	141.02	 -5.74	  250	 3.96	G4III+A4V
043.470000	-49.890278	 868	   	02 53 52.8	-49 53 25	 12.36	-61.40	265.46	-57.38	  496	 3.92	M7IIIe
042.619583	-75.066944	 872	Hyi	02 50 28.7	-75 04 01	310.22	-72.92	293.35	-39.77	  362	 4.75	K3III
044.106667	 -8.898056	 874	Eri	02 56 25.6	-08 53 53	 38.75	-24.55	187.15	-55.31	  135	 3.87	K1-IIIbBa0.2
044.690000	+39.662778	 879	Per	02 58 45.6	+39 39 46	 53.90	 21.73	148.04	-16.92	  326	 4.70	A2Vn
044.765000	+35.183056	 882	Per	02 59 03.6	+35 10 59	 52.54	 17.44	150.45	-20.78	  362	 4.94	K2III
044.802500	+21.340278	 887	Ari	02 59 12.6	+21 20 25	 48.50	  4.17	158.69	-32.51	  296	 4.63	A2Vs
044.802500	+21.340278	 888	Ari	02 59 12.6	+21 20 25	 48.50	  4.17	158.69	-32.51	  296	 4.64	A2Vs
044.928333	 +8.907500	 896	Cet	02 59 42.8	+08 54 27	 45.09	 -7.79	168.21	-42.41	  465	 4.70	B6III
044.565000	-40.304722	 897	Eri	02 58 15.6	-40 18 17	 23.27	-53.74	247.86	-60.74	  163	 3.42	A4III
044.567500	-40.304444	 898	Eri	02 58 16.2	-40 18 16	 23.27	-53.74	247.85	-60.73	  163	 4.42	A1V
044.699167	-64.071111	 909	Hor	02 58 47.8	-64 04 16	346.34	-71.35	282.85	-47.79	  326	 4.99	A3-5IIIm:
045.569583	 +4.089722	 911	Cet	03 02 16.7	+04 05 23	 44.32	-12.59	173.32	-45.59	  232	 2.53	M1.5IIIa
046.198750	+53.506389	 915	Per	03 04 47.7	+53 30 23	 60.02	 34.53	142.07	 -4.34	  271	 2.93	G8III+A2V
046.385000	+56.705833	 918	   	03 05 32.4	+56 42 21	 61.49	 37.50	140.59	 -1.50	  217	 4.76	G9.5III
