#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-21T19:08:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ614a2d31220564	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-out.add=_RA*-c.eq,_DE*-c.eq
#-sort=_r
#-order=I
#-out.src=V/53A/catalog
#-nav=cat:V/53A&tab:{V/53A/catalog}&key:source=V/53A&HTTPPRM:&&-ref=VIZ614a2d31220564&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-out.add=_RA*-c.eq,_DE*-c.eq&-sort=_r&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Bayer&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=V/53A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/53A/catalog
#-out=HR
#-out=n_HR
#-out=Bayer
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=]
#Column	n_HR	(A1)	Simbad column added by the CDS	[ucd=]
#Column	Bayer	(A4)	Greek letter (lettre grecque)	[ucd=]
#Column	Const	(A3)	Constellation (3 characters)	[ucd=]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=]
#Column	SpType	(a19)	MK Spectral Type	[ucd=]
_RAJ2000	_DEJ2000	HR	n_HR	Bayer	Const	RA2000	DE2000	ELON	ELAT	Dist	Vmag	SpType
009.638750	+29.311944	 163	 	eps 	And	00 38 33.3	+29 18 43	 20.92	 23.02	  171	 4.38	G8IIIp
009.831667	+30.861111	 165	 	del 	And	00 39 19.6	+30 51 40	 21.81	 24.35	  101	 3.28	K3III
010.126667	+56.537500	 168	*	alf 	Cas	00 40 30.4	+56 32 15	 37.78	 46.62	  232	 2.23	K0IIIa
010.515833	+50.512500	 179	 	 xi 	Cas	00 42 03.8	+50 30 45	 33.48	 41.45	  572	 4.81	B2V
010.331250	-46.085000	 180	 	 mu 	Phe	00 41 19.5	-46 05 06	345.82	-45.27	  250	 4.59	G8III
010.866667	+47.024722	 184	 	 pi 	Cas	00 43 28.0	+47 01 29	 31.42	 38.33	  181	 4.94	A5V
010.897083	-17.986667	 188	 	bet 	Cet	00 43 35.3	-17 59 12	  2.58	-20.78	   95	 2.01	K0IIICH-1H,K-0.5
010.838333	-57.463056	 191	 	eta 	Phe	00 43 21.2	-57 27 47	335.34	-54.46	  250	 4.36	A0IV
011.181250	+48.284444	 193	 	omi 	Cas	00 44 43.5	+48 17 04	 32.46	 39.31	  476	 4.50	B5IIIe
011.047083	-10.609444	 194	 	phi1	Cet	00 44 11.3	-10 36 34	  5.89	-14.11	  217	 4.75	K0IIIv
011.834583	+24.267222	 215	 	zet 	And	00 47 20.3	+24 16 02	 20.58	 17.62	  191	 4.06	K1IIe
012.275000	+57.816111	 219	 	eta 	Cas	00 49 06.0	+57 48 58	 40.25	 47.01	   19	 3.44	G0V+dM0
012.208333	+50.968333	 223	 	 nu 	Cas	00 48 50.0	+50 58 06	 35.01	 41.28	  407	 4.89	B9III
012.170417	 +7.585000	 224	 	del 	Psc	00 48 40.9	+07 35 06	 14.15	  2.18	  326	 4.44	K5III
012.453333	+41.078889	 226	 	 nu 	And	00 49 48.8	+41 04 44	 29.15	 32.56	  390	 4.53	B5V+F8V
013.267083	+61.124167	 244	 	    	   	00 53 04.1	+61 07 27	 43.75	 49.40	   61	 4.80	F8V
013.251667	 -1.144444	 248	 	    	Cet	00 53 00.4	-01 08 40	 11.74	 -6.29	  543	 4.76	M0III
013.750000	+58.972778	 253	 	ups1	Cas	00 55 00.0	+58 58 22	 42.16	 47.52	  407	 4.84	K2III
014.176667	+60.716667	 264	 	gam 	Cas	00 56 42.4	+60 43 00	 43.93	 48.82	  624	 2.47	B0IVe
014.165417	+59.181111	 265	 	ups2	Cas	00 56 39.7	+59 10 52	 42.59	 47.57	  217	 4.64	G8.5IIIbCN-1
014.187917	+38.499444	 269	 	 mu 	And	00 56 45.1	+38 29 58	 29.17	 29.66	  141	 3.87	A5V
014.301667	+23.417778	 271	 	eta 	And	00 57 12.4	+23 25 04	 22.38	 15.93	  250	 4.42	G8IIIb
014.651250	-29.357778	 280	 	alf 	Scl	00 58 36.3	-29 21 28	  0.49	-32.51	  556	 4.27	B7IIIp
017.187083	+86.257222	 285	 	    	   	01 08 44.9	+86 15 26	 81.45	 65.21	  326	 4.26	K2II-III
015.735417	 +7.890000	 294	 	eps 	Psc	01 02 56.5	+07 53 24	 17.52	  1.09	  191	 4.28	K0III
016.520833	-46.718889	 322	 	bet 	Phe	01 06 05.0	-46 43 08	350.44	-48.20	  203	 3.30	G8IIIv
017.147083	-10.182222	 334	 	eta 	Cet	01 08 35.3	-10 10 56	 11.77	-16.12	  120	 3.44	K1.5IIICN1
017.375417	+47.241944	 335	 	phi 	And	01 09 30.1	+47 14 31	 36.42	 36.37	  409	 4.25	B7Ve
017.432917	+35.620556	 337	*	bet 	And	01 09 43.9	+35 37 14	 30.41	 25.94	  203	 2.05	M0IIIa
017.095833	-55.245833	 338	 	zet 	Phe	01 08 23.0	-55 14 45	342.38	-55.13	  296	 3.92	B6V+B9V
017.775417	+55.150000	 343	 	tet 	Cas	01 11 06.1	+55 09 00	 41.80	 43.12	  141	 4.34	A7V
017.862917	+21.034722	 351	 	chi 	Psc	01 11 27.1	+21 02 05	 24.53	 12.44	  465	 4.66	G8.5III-IIIa
017.915000	+30.089722	 352	 	tau 	Psc	01 11 39.6	+30 05 23	 28.32	 20.74	  163	 4.51	K0IIIb
018.436667	+24.583611	 360	 	phi 	Psc	01 13 44.8	+24 35 01	 26.46	 15.50	  407	 4.66	K0III
018.796250	-45.531667	 370	 	 nu 	Phe	01 15 11.1	-45 31 54	353.40	-48.12	   49	 4.96	F8V
018.942500	-68.876111	 377	 	kap 	Tuc	01 15 46.2	-68 52 34	322.27	-64.47	   67	 4.86	F6IV
020.020000	+58.231667	 382	 	phi 	Cas	01 20 04.8	+58 13 54	 45.51	 45.10	 7989	 4.99	F0Ia
019.866250	+27.264167	 383	 	ups 	Psc	01 19 27.9	+27 15 51	 28.79	 17.47	  326	 4.76	A3V
020.584583	+45.528889	 390	 	 xi 	And	01 22 20.3	+45 31 44	 37.86	 33.83	  203	 4.90	K0-IIIb
021.483333	+68.130000	 399	 	psi 	Cas	01 25 56.0	+68 07 48	 54.96	 52.86	  203	 4.74	K0III
021.005417	 -8.183611	 402	 	tet 	Cet	01 24 01.3	-08 11 01	 16.23	-15.77	  116	 3.59	K0IIIb
021.453750	+60.235278	 403	 	del 	Cas	01 25 48.9	+60 14 07	 47.93	 46.40	  101	 2.68	A5III-IVv
021.404583	-14.598889	 412	 	    	Cet	01 25 37.1	-14 35 56	 13.95	-21.82	  296	 4.90	K2.5IIIb
021.913333	+45.406944	 417	 	omg 	And	01 27 39.2	+45 24 25	 38.80	 33.31	   93	 4.82	F5IV
037.960417	+89.264167	 424	*	alf 	UMi	02 31 50.5	+89 15 51	 88.57	 66.10	  465	 2.02	F7:Ib-IIv
022.091250	-43.318333	 429	 	gam 	Phe	01 28 21.9	-43 19 06	358.14	-47.59	  250	 3.41	M0-IIIa
022.546250	 +6.143889	 434	 	 mu 	Psc	01 30 11.1	+06 08 38	 23.14	 -3.06	  362	 4.84	K4III
022.870417	+15.345833	 437	 	eta 	Psc	01 31 28.9	+15 20 45	 26.82	  5.38	  296	 3.62	G7IIIa
022.812500	-49.072778	 440	 	del 	Phe	01 31 15.0	-49 04 22	353.62	-52.58	  148	 3.95	K0III-IV
023.482917	+59.232222	 442	 	chi 	Cas	01 33 55.9	+59 13 56	 48.42	 45.01	  217	 4.72	G9IIIb
024.199167	+41.405556	 458	 	ups 	And	01 36 47.8	+41 24 20	 38.55	 28.98	   44	 4.10	F8V
024.497917	+48.628333	 464	 	    	And	01 37 59.5	+48 37 42	 42.44	 35.42	  181	 3.57	K3-III
024.837083	+44.386111	 469	 	chi 	And	01 39 20.9	+44 23 10	 40.49	 31.49	  250	 4.98	G8III
024.428750	-57.236667	 472	*	alf 	Eri	01 37 42.9	-57 14 12	345.31	-59.38	  148	 0.46	B3Vpe
025.144583	+40.576944	 477	 	tau 	And	01 40 34.7	+40 34 37	 38.90	 27.93	  501	 4.94	B8III
025.446250	+42.613611	 483	 	    	   	01 41 47.1	+42 36 49	 40.09	 29.70	   41	 4.96	G1.5V
025.357500	 +5.487500	 489	 	 nu 	Psc	01 41 25.8	+05 29 15	 25.51	 -4.69	  407	 4.44	K3-IIIbBa0.1
025.915000	+50.688889	 496	 	phi 	Per	01 43 39.6	+50 41 20	 44.59	 36.85	  440	 4.06	B2Vep
025.680833	 -3.690278	 500	 	    	   	01 42 43.4	-03 41 25	 22.43	-13.36	  494	 5.00	K3II-III
026.016667	-15.937500	 509	 	tau 	Cet	01 44 04.0	-15 56 15	 17.82	-24.82	   11	 3.50	G8V
026.348333	 +9.157778	 510	 	omi 	Psc	01 45 23.6	+09 09 28	 27.74	 -1.62	  271	 4.26	G8III
027.395833	-10.686389	 531	 	chi 	Cet	01 49 35.0	-10 41 11	 21.35	-20.49	   77	 4.68	F3III
027.864583	-10.335000	 539	 	zet 	Cet	01 51 27.5	-10 20 06	 21.95	-20.33	  271	 3.72	K0IIIBa0.1
028.598333	+63.670278	 542	 	eps 	Cas	01 54 23.6	+63 40 13	 54.76	 47.55	  465	 3.37	B3III
028.270000	+29.578889	 544	 	alf 	Tri	01 53 04.8	+29 34 44	 36.86	 16.80	   65	 3.42	F6IV
028.382083	+19.295833	 545	 	gam1	Ari	01 53 31.7	+19 17 45	 33.18	  7.16	  217	 4.83	B9V
028.382500	+19.293611	 546	 	gam2	Ari	01 53 31.8	+19 17 37	 33.18	  7.16	  217	 4.75	A1pSi
028.999583	+68.685278	 548	 	omg 	Cas	01 55 59.9	+68 41 07	 59.15	 51.69	  512	 4.99	B8III
028.388750	 +3.187500	 549	 	 xi 	Psc	01 53 33.3	+03 11 15	 27.52	 -7.92	  191	 4.63	K0III
028.659583	+20.808056	 553	 	bet 	Ari	01 54 38.3	+20 48 29	 33.97	  8.49	   60	 2.65	A5V
028.411250	-46.302778	 555	 	psi 	Phe	01 53 38.7	-46 18 10	  1.32	-52.57	  326	 4.41	M4III
029.167083	-22.526667	 565	 	    	Cet	01 56 40.1	-22 31 36	 17.91	-32.04	  407	 4.85	K4III
028.989167	-51.608889	 566	 	chi 	Eri	01 55 57.4	-51 36 32	356.25	-57.02	   57	 3.70	G8IIIbCNIV
029.482083	+23.596111	 569	 	lam 	Ari	01 57 55.7	+23 35 46	 35.69	 10.83	  135	 4.79	F0V
028.733750	-67.647500	 570	 	eta2	Hyi	01 54 56.1	-67 38 51	329.03	-67.11	  217	 4.69	G8III-IV
029.291667	-47.385000	 574	 	    	   	01 57 10.0	-47 23 06	  1.09	-53.80	  271	 4.82	G8III
030.488750	+70.907222	 575	 	    	Cas	02 01 57.3	+70 54 26	 61.91	 53.23	  120	 4.54	A3IV
030.858333	+72.421389	 580	 	    	Cas	02 03 26.0	+72 25 17	 63.56	 54.39	  163	 3.98	A2V
030.000833	-21.077778	 585	 	ups 	Cet	02 00 00.2	-21 04 40	 19.43	-31.03	  326	 4.02	M0.5IIIBa0.2
029.692500	-61.570000	 591	 	alf 	Hyi	01 58 46.2	-61 34 12	342.12	-64.24	   72	 2.86	F0V
030.511250	 +2.763611	 596	 	alf 	Psc	02 02 02.7	+02 45 49	 29.38	 -9.06	  141	 4.33	A0pSiSr
030.974583	+42.329722	 603	*	gam1	And	02 03 53.9	+42 19 47	 44.23	 27.81	  362	 2.26	K3-IIb
030.977917	+42.330833	 604	 	gam2	And	02 03 54.7	+42 19 51	 44.23	 27.81	  362	 4.84	B8V+A0V
031.122500	-29.296944	 612	 	 nu 	For	02 04 29.4	-29 17 49	 16.34	-38.92	  362	 4.69	B9.5pSi
031.792917	+23.462500	 617	*	alf 	Ari	02 07 10.3	+23 27 45	 37.66	  9.97	   66	 2.01	K2IIIabCa-I
032.121667	+37.859167	 620	 	    	And	02 08 29.2	+37 51 33	 43.26	 23.33	  203	 4.83	A5IV-V
032.385417	+34.987222	 622	 	bet 	Tri	02 09 32.5	+34 59 14	 42.35	 20.58	  125	 3.00	A5III
032.355417	+25.940000	 623	 	    	Ari	02 09 25.3	+25 56 24	 39.02	 12.12	  326	 4.98	F2III
033.092500	+30.303056	 642	 	    	Tri	02 12 22.2	+30 18 11	 41.20	 15.99	  326	 4.94	G5III+F5V
033.305000	+44.231944	 643	 	    	And	02 13 13.2	+44 13 55	 46.83	 28.91	  289	 4.83	K3.5IIIBa0.5:
033.249583	 +8.846667	 649	 	 xi1	Cet	02 12 59.9	+08 50 48	 34.04	 -4.27	  362	 4.35	G6II-IIICN-2
034.263333	+34.224444	 660	 	del 	Tri	02 17 03.2	+34 13 28	 43.60	 19.32	   35	 4.87	G0V
034.328333	+33.847222	 664	 	gam 	Tri	02 17 18.8	+33 50 50	 43.52	 18.95	  120	 4.01	A1Vnn
034.127500	-51.512222	 674	 	phi 	Eri	02 16 30.6	-51 30 44	  1.00	-58.99	  155	 3.56	B8V-IV
034.836250	 -2.977500	 681	*	omi 	Cet	02 19 20.7	-02 58 39	 31.52	-15.94	  465	 3.05	M7IIIe
036.405417	+50.278611	 699	 	    	And	02 25 37.3	+50 16 43	 51.81	 33.70	  362	 4.70	K4+III
035.437917	-68.659444	 705	 	del 	Hyi	02 21 45.1	-68 39 34	329.18	-69.80	  135	 4.09	A3V
037.266250	+67.402500	 707	 	iot 	Cas	02 29 03.9	+67 24 09	 62.23	 48.98	  141	 4.53	A5pSr
036.487083	-12.290556	 708	 	 ro 	Cet	02 25 56.9	-12 17 26	 29.72	-25.24	  543	 4.89	B9.5Vn
037.039583	 +8.460000	 718	 	 xi2	Cet	02 28 09.5	+08 27 36	 37.47	 -5.86	  181	 4.30	B9III
036.746250	-47.703889	 721	 	kap 	Eri	02 26 59.1	-47 42 14	  7.94	-57.01	  543	 4.25	B5IV
038.021250	-15.244722	 740	 	sig 	Cet	02 32 05.1	-15 14 41	 30.10	-28.53	   85	 4.75	F4IV
038.460833	-28.232500	 749	 	omg 	For	02 33 50.6	-28 13 57	 24.51	-40.69	  465	 4.89	B9.5V
038.968333	 +5.593333	 754	 	 nu 	Cet	02 35 52.4	+05 35 36	 38.39	 -9.18	  407	 4.86	G8III
039.870417	 +0.328611	 779	 	del 	Cet	02 39 28.9	+00 19 43	 37.57	-14.46	  815	 4.06	B2IV
039.890417	-11.872222	 781	 	eps 	Cet	02 39 33.7	-11 52 20	 33.34	-26.00	   90	 4.84	F5V+F6V
040.562083	+40.193889	 788	 	    	Per	02 42 14.9	+40 11 38	 50.84	 23.24	   81	 4.92	F9V
039.949583	-42.891667	 789	 	    	   	02 39 47.9	-42 53 30	 15.98	-54.25	  130	 4.75	A2V
040.166667	-39.855278	 794	 	iot 	Eri	02 40 40.0	-39 51 19	 18.77	-51.71	  148	 4.11	K0III
041.049583	+49.228611	 799	 	tet 	Per	02 44 11.9	+49 13 43	 54.67	 31.62	   36	 4.13	F8V
040.862500	+27.707222	 801	 	    	Ari	02 43 27.0	+27 42 26	 46.93	 11.31	  407	 4.67	B3V
040.825000	 +3.235833	 804	 	gam 	Cet	02 43 18.0	+03 14 09	 39.43	-12.00	   83	 3.47	A3V
039.897917	-68.266944	 806	 	eps 	Hyi	02 39 35.5	-68 16 01	331.91	-71.22	  155	 4.11	B9V
041.030417	-13.858889	 811	 	 pi 	Cet	02 44 07.3	-13 51 32	 33.76	-28.25	  465	 4.24	B7V
041.235417	+10.114167	 813	 	 mu 	Cet	02 44 56.5	+10 06 51	 41.94	 -5.57	   85	 4.27	F0IV
041.275417	-18.572500	 818	 	tau1	Eri	02 45 06.1	-18 34 21	 32.11	-32.75	   45	 4.46	F6V
041.977083	+29.247222	 824	 	    	Ari	02 47 54.5	+29 14 50	 48.37	 12.48	  181	 4.52	K1III
042.674167	+55.895556	 834	 	eta 	Per	02 50 41.8	+55 53 44	 58.70	 37.48	  588	 3.79	M3-Ib-IIa
041.385833	-67.616667	 837	 	zet 	Hyi	02 45 32.6	-67 37 00	334.41	-71.53	  296	 4.84	A2IV-V
042.495833	+27.260556	 838	 	    	Ari	02 49 59.0	+27 15 38	 48.20	 10.45	  163	 3.62	B8Vn
042.645417	+38.318611	 840	 	    	Per	02 50 34.9	+38 19 07	 51.84	 20.94	  130	 4.23	F2III
042.272500	-32.406111	 841	 	bet 	For	02 49 05.4	-32 24 22	 26.23	-45.86	  171	 4.46	G8IIIb
042.878333	+35.059722	 843	 	    	Per	02 51 30.8	+35 03 35	 50.95	 17.79	  465	 4.53	K7III
042.759167	-21.004167	 850	 	tau2	Eri	02 51 02.2	-21 00 15	 32.63	-35.52	  191	 4.77	K0III
043.564167	+52.762500	 854	 	tau 	Per	02 54 15.4	+52 45 45	 57.91	 34.37	  250	 3.96	G4III+A4V
043.470000	-49.890278	 868	 	    	   	02 53 52.8	-49 53 25	 12.36	-61.40	  496	 3.92	M7IIIe
042.619583	-75.066944	 872	 	 nu 	Hyi	02 50 28.7	-75 04 01	310.22	-72.92	  362	 4.75	K3III
044.106667	 -8.898056	 874	 	eta 	Eri	02 56 25.6	-08 53 53	 38.75	-24.55	  135	 3.87	K1-IIIbBa0.2
044.690000	+39.662778	 879	 	 pi 	Per	02 58 45.6	+39 39 46	 53.90	 21.73	  326	 4.70	A2Vn
044.765000	+35.183056	 882	 	    	Per	02 59 03.6	+35 10 59	 52.54	 17.44	  362	 4.94	K2III
044.802500	+21.340278	 887	 	eps 	Ari	02 59 12.6	+21 20 25	 48.50	  4.17	  296	 4.63	A2Vs
044.802500	+21.340278	 888	 	eps 	Ari	02 59 12.6	+21 20 25	 48.50	  4.17	  296	 4.64	A2Vs
044.928333	 +8.907500	 896	 	lam 	Cet	02 59 42.8	+08 54 27	 45.09	 -7.79	  465	 4.70	B6III
044.565000	-40.304722	 897	*	tet1	Eri	02 58 15.6	-40 18 17	 23.27	-53.74	  163	 3.42	A4III
044.567500	-40.304444	 898	 	tet2	Eri	02 58 16.2	-40 18 16	 23.27	-53.74	  163	 4.42	A1V
044.699167	-64.071111	 909	 	bet 	Hor	02 58 47.8	-64 04 16	346.34	-71.35	  326	 4.99	A3-5IIIm:
045.569583	 +4.089722	 911	*	alf 	Cet	03 02 16.7	+04 05 23	 44.32	-12.59	  232	 2.53	M1.5IIIa
046.198750	+53.506389	 915	 	gam 	Per	03 04 47.7	+53 30 23	 60.02	 34.53	  271	 2.93	G8III+A2V
046.385000	+56.705833	 918	 	    	   	03 05 32.4	+56 42 21	 61.49	 37.50	  217	 4.76	G9.5III
045.597917	-23.624444	 919	 	tau3	Eri	03 02 23.5	-23 37 28	 34.53	-38.91	   88	 4.09	A4IV
046.293750	+38.840278	 921	 	 ro 	Per	03 05 10.5	+38 50 25	 54.91	 20.57	  326	 3.39	M4II
047.984583	+74.393611	 932	 	    	   	03 11 56.3	+74 23 37	 72.37	 53.53	  163	 4.88	A2Vnn
047.042083	+40.955833	 936	*	bet 	Per	03 08 10.1	+40 57 21	 56.17	 22.43	   93	 2.12	B8V
047.266667	+49.613333	 937	 	iot 	Per	03 09 04.0	+49 36 48	 59.27	 30.63	   34	 4.05	G0V
047.373750	+44.857500	 941	 	kap 	Per	03 09 29.7	+44 51 27	 57.69	 26.08	  112	 3.81	K0III
047.822083	+39.611667	 947	 	omg 	Per	03 11 17.3	+39 36 42	 56.36	 20.97	  326	 4.64	K1III
047.907083	+19.726667	 951	 	del 	Ari	03 11 37.7	+19 43 36	 50.85	  1.82	  171	 4.37	K2IIIv
048.017500	-28.987222	 963	 	alf 	For	03 12 04.2	-28 59 14	 34.61	-44.69	   46	 3.85	F8V
048.725000	+21.044444	 972	 	zet 	Ari	03 14 54.0	+21 02 40	 51.94	  2.89	  362	 4.89	A1V
048.957917	 -8.819722	 984	 	zet 	Eri	03 15 49.9	-08 49 11	 43.83	-25.92	  120	 4.80	A5m
049.997083	+65.652500	 985	 	    	   	03 19 59.3	+65 39 09	 67.88	 45.26	  616	 4.85	B2.5Ven
